lat,lon,effort_kwh,haul_count
59.65,3.2,1214590.7000000002,52
58.1,4.75,1213251.8499999999,78
75.9,34.1,1210209.0,1
58.7,9.75,1204599.3333333333,141
75.9,33.8,1203612.0,1
70.4,17.25,1197096.45,51
70.85,17.25,1191113.6166666667,48
76.05,32.55,1190825.0,3
58.65,3.65,1188097.8,59
76.1,32.75,1183843.6666666667,3
59.85,3.15,1180290.4499999997,36
58.4,4.1,1173702.1833333333,37
57.15,5.25,1170718.2833333332,41
70.95,17.2,1168165.8333333333,41
69.9,16.65,1166156.5166666661,100
76.45,34.7,1165317.6666666665,4
71.55,16.6,1164691.1666666667,42
75.95,32.9,1155500.0,2
60.4,3.15,1153030.816666667,60
75.7,33.6,1152696.6666666667,3
76.0,34.2,1151976.3666666667,5
70.3,17.2,1151654.7333333336,49
58.35,4.0,1148327.2833333337,50
61.3,2.05,1147541.5,54
76.0,34.1,1147484.1500000001,6
71.7,16.35,1145443.433333333,49
70.9,17.25,1139863.2999999998,49
58.4,4.0,1133859.4,53
70.0,16.85,1132346.4000000001,59
71.55,30.75,1131770.6666666665,3
76.15,33.15,1129871.1666666667,6
76.1,34.35,1124177.9666666666,9
70.2,17.2,1124054.7666666666,44
75.8,34.0,1123143.0,2
58.05,4.8,1122377.6666666665,69
58.15,4.7,1121200.7166666666,48
71.65,16.5,1114422.25,37
75.7,33.7,1110725.8333333333,2
59.05,3.35,1107577.9333333333,43
58.4,5.7,1105119.2499999995,109
58.0,8.2,1105029.6666666665,129
71.3,16.8,1101846.0833333335,39
76.15,34.25,1096995.6,9
75.9,33.9,1096772.3333333335,3
71.45,16.65,1096162.1833333333,43
71.05,17.1,1091549.0333333334,42
71.0,22.4,1086088.75,45
58.95,3.4,1085684.6333333333,52
58.05,4.85,1078568.7333333336,67
71.1,17.05,1077819.9333333333,40
76.1,33.4,1075564.1666666667,8
71.05,22.45,1067627.1000000003,36
70.95,29.2,1066832.8333333335,438
68.7,12.7,1059304.4,51
58.1,4.9,1059066.8,65
58.5,10.5,1053868.8333333337,102
57.8,5.65,1051066.1666666665,59
71.65,16.4,1050521.1333333333,43
70.05,16.95,1050276.5,40
58.25,4.5,1049512.316666667,57
58.05,4.95,1048469.3833333333,84
71.0,17.15,1045987.6833333333,45
58.35,5.8,1045269.3333333335,115
75.95,34.5,1040411.6666666667,1
76.0,33.45,1039111.7666666666,7
71.6,16.45,1031149.7333333335,39
60.45,3.15,1031015.1000000001,49
62.6,3.8,1026233.1666666666,36
76.15,33.6,1025788.5333333334,5
70.25,17.2,1025068.6333333333,39
69.45,15.8,1023184.5333333336,496
70.85,22.15,1020920.5333333331,174
70.55,19.15,1017942.5,40
57.6,7.75,1012913.0833333337,93
68.5,12.0,1012557.85,42
59.8,3.2,1010188.1499999999,41
71.05,17.05,1009360.5333333333,40
70.25,17.15,1006602.2,37
73.8,17.65,1000952.0333333333,31
60.35,3.2,999928.8999999998,42
57.6,7.85,999494.4666666663,101
75.7,33.4,997591.6666666666,3
71.4,16.75,997476.3500000001,40
59.1,5.3,997470.9999999999,80
75.8,33.45,996900.0,1
75.95,32.65,995534.1166666668,7
76.15,34.9,994561.8333333334,8
76.05,34.3,993540.6666666666,5
70.75,17.25,987035.6,42
59.5,3.3,980121.1666666669,44
58.95,3.55,980109.3333333335,35
58.95,3.35,978400.1,36
76.15,33.8,978277.8,9
58.9,3.4,974833.6666666666,37
57.6,7.8,973941.1500000001,97
61.45,1.8,969082.1833333332,62
58.95,3.45,963998.2833333332,32
58.45,5.6,960036.9833333333,94
71.7,16.4,956268.25,36
57.65,4.0,951381.8000000002,42
71.05,22.5,951147.7000000001,43
76.3,34.6,946568.3,2
71.15,17.0,944836.1499999999,36
75.9,33.25,940932.6166666667,4
62.55,5.15,939217.2166666666,87
57.6,7.9,935429.8500000003,90
71.15,21.7,934542.6499999999,46
58.15,4.65,933465.2166666667,42
76.0,34.0,929437.3833333333,8
71.2,16.95,928505.3000000003,39
72.05,16.05,927653.7666666666,28
59.05,3.55,925934.0166666666,26
76.0,34.75,925798.6666666666,2
71.95,16.1,925309.0333333334,28
60.3,3.2,923761.1833333335,44
76.25,34.1,923451.1666666667,6
68.5,11.95,916002.5,40
71.55,16.5,910575.1333333334,42
75.95,33.55,907863.5666666665,7
71.0,17.1,906735.8833333333,36
75.85,34.2,906710.3999999999,1
76.3,33.55,902066.7000000001,4
58.3,4.3,901975.5999999999,35
58.7,3.7,892530.1166666666,24
58.05,5.0,891907.0833333333,69
62.55,3.65,889064.45,32
75.6,33.3,888477.6000000001,2
59.85,3.2,885673.6666666667,41
71.25,16.9,885533.3833333334,42
59.15,3.35,884943.8166666667,46
71.2,16.9,884577.5500000002,31
70.35,17.2,882145.5166666667,38
71.7,16.3,879973.5666666668,34
76.25,33.4,879591.4666666667,4
74.2,22.25,877897.4000000001,33
59.9,3.2,876515.8833333331,43
59.95,3.2,876137.416666667,47
57.75,4.15,874768.8999999999,36
60.3,3.15,874558.7666666665,31
71.95,15.95,871839.9166666666,28
58.7,9.9,871570.6666666665,100
58.5,5.5,869509.5833333333,84
59.2,3.35,868872.9666666666,50
71.35,16.75,868124.3999999999,38
76.25,34.55,867915.8333333334,9
70.75,17.2,867081.9500000001,37
58.05,8.1,864627.4166666666,243
75.65,33.5,863593.7666666666,6
59.6,3.2,862141.3333333333,41
69.4,15.85,861129.4999999993,366
57.2,5.7,858840.0833333335,32
71.4,16.8,856172.8333333334,31
70.9,22.2,855453.3333333336,206
71.75,16.25,854996.0166666667,32
74.6,34.85,853450.0,3
58.5,5.45,852736.0833333334,80
60.2,3.15,852272.45,29
57.45,5.1,852185.9999999999,28
76.2,33.15,851801.2,3
61.25,2.1,848962.9666666668,36
61.05,2.45,847942.3666666663,36
76.4,32.9,847828.3333333334,2
71.5,16.7,839942.5166666666,32
