country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,lon_dd,lat_dd
Norway,285077,Operational,6407/7-A-17 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73887.3422,SINGLE WELL TEMPLATE; OIL PRODUCER,7.2011417,64.2713472
Norway,364827,Operational,NORNE H,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,20051108,,390,147024.851426,MULTI WELL TEMPLATE; WATER INJECTION,8.2508278,66.0776278
Norway,410948,Operational,GOLIAT B,,,Vår Energi ASA,,,,,,20160312,,387,51171.9698188,MULTI WELL TEMPLATE; OIL PRODUCER,22.2851417,71.2863972
Norway,278665,Operational,ÅSGARD H,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,20001004,,290,161176.683196,MULTI WELL TEMPLATE; OIL PRODUCER,6.6742778,65.1185722
Norway,417722,Operational,FOSSEKALL R,,,Equinor Energy AS,,,,,,20130313,,358,150022.869605,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,8.2369694,66.1447833
Norway,425460,Operational,DRAUGEN FSL,Others,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20121015,,258,58773.5501291,LOADING SYSTEM; OFFLOADING,7.8458639,64.3473111
Norway,394760,Closed down,6507/11-V H YTTERGRYTA,Subsea steel,Subsea,Equinor Energy AS,NO_6507/11,Natural Gas,,,,20090106,,297,136861.875764,SINGLE WELL TEMPLATE; GAS PRODUCER,7.5092222,65.1116111
Norway,437497,Operational,ÅSGARD PB,,,Equinor Energy AS,,,,,,20150904,,310,147841.502325,MULTI WELL TEMPLATE; GAS INJECTION - OIL PRODUCER,6.8760028,65.0318361
Norway,415218,Operational,ORMEN LANGE C,Fixed steel,Subsea,A/S Norske Shell,NO_6305/5,Natural Gas,,,,20121115,,925,98503.0490951,MULTI WELL TEMPLATE; GAS PRODUCER,5.3484194,63.572775
Norway,285749,Closed down,6407/9-A-58 H,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,19931019,,243,59361.374293,SINGLE WELL TEMPLATE; GAS INJECTION,7.9604083,64.3854694
Norway,443503,Operational,HEIDRUN FSU,,,Equinor Energy AS,,,,,,20150601,,0.0,157064.822394,FSU; OFFLOADING - STORAGE,7.3658694,65.3436194
Norway,405219,Operational,MOR-B,Subsea steel,Subsea,Equinor Energy AS,NO_6506/11,Crude Oil,,,,20100801,,360,170054.326252,MULTI WELL TEMPLATE; GAS INJECTION - OIL PRODUCER,6.4972472,65.1631528
Norway,450531,Operational,TRESTAKK A,,,Equinor Energy AS,,,,,,20190716,,300,134027.584984,MULTI WELL TEMPLATE; GAS INJECTION - OIL PRODUCER,6.8376194,64.8661333
