country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,lon_dd,lat_dd
Norway,405160,Operational,MOR-A,Subsea steel,Subsea,Equinor Energy AS,NO_6506/11,Crude Oil,,,,20100801,,360,168261.761369,MULTI WELL TEMPLATE; OIL PRODUCER,6.477875,65.1369722
Norway,278889,Operational,ÅSGARD P,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Crude Oil,,,,19990520,,310,146934.462336,MULTI WELL TEMPLATE; OIL PRODUCER,6.8793889,65.0229944
Norway,432476,Operational,ÅSGARD SCSt-A,,,Equinor Energy AS,,,,,,20150916,,267,126972.426234,SUBSEA STRUCTURE; SUBSEA COMPRESSION,7.5193528,64.9973028
Norway,450653,Operational,TRESTAKK B,,,Equinor Energy AS,,,,,,20190716,,297,132981.95586,SINGLE WELL TEMPLATE; OIL PRODUCER,6.7869333,64.8359806
Norway,281997,Operational,HEIDRUN RISER-BASE,Subsea steel,Other,Equinor Energy AS,NO_6507/7,,,,,19950815,,350,158593.185273,SUBSEA STRUCTURE; RISER BASE,7.3175,65.3234694
Norway,278805,Operational,ÅSGARD M,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,20001004,,273,163021.727231,MULTI WELL TEMPLATE; GAS INJECTION,6.8008889,65.1734444
Norway,408517,Operational,TILJE,Fixed steel,Subsea,Aker BP ASA,NO_6507/5,Natural Gas,,,,20121231,,324,163427.620766,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,7.6514611,65.7382028
Norway,364789,Operational,NORNE G,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,20051108,,390,147134.825949,MULTI WELL TEMPLATE; OIL PRODUCER,8.2488194,66.078325
Norway,451366,Operational,6507/5-K-1H ÆRFUGL,,,Aker BP ASA,,,,,,20201112,,409,165449.672951,SINGLE WELL TEMPLATE; GAS PRODUCER,7.548,65.6974056
Norway,278693,Operational,ÅSGARD J,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,20001004,,256,164054.952967,MULTI WELL TEMPLATE; OIL PRODUCER,6.7330833,65.1663333
Norway,287737,Operational,NJORD STL,Other,Other,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,100.5,71952.3854194,LOADING SYSTEM,7.2530806,64.2720611
Norway,447414,Operational,MARIA H,,,Wintershall Dea Norge AS,,,,,,20171217,,303,137958.903896,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER - WATER INJECTION,6.9545639,64.9472278
Norway,451185,Under construction,FENJA H,,,Neptune Energy Norge AS,,,,,,,,325,79497.8345151,MULTI WELL TEMPLATE; GAS INJECTOR - WATER INJECTION,6.7482972,64.0299361
Norway,278973,Operational,ÅSGARD Z,Subsea steel,Subsea,Equinor Energy AS,NO_6407/2,Crude Oil,,,,20001004,,245,121514.273959,MULTI WELL TEMPLATE; GAS PRODUCER,7.6221389,64.9708056
Norway,284685,Operational,6407/7-A-1 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73848.2951898,SINGLE WELL TEMPLATE; WATER INJECTION,7.2015222,64.2709861
Norway,391161,Operational,6407/9-D-3 H,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20080927,,254,63938.1141555,SINGLE WELL TEMPLATE; OIL PRODUCER,7.7127222,64.3608889
Norway,451051,Under construction,BAUGE,,,Equinor Energy AS,,,,,,20201201,,282,71161.3792573,MULTI WELL TEMPLATE; OIL PRODUCER,7.4616306,64.3550472
Norway,284769,Operational,6407/7-A-11 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73820.7682698,SINGLE WELL TEMPLATE; OIL PRODUCER,7.2024167,64.2710889
Norway,287597,Operational,TOR II Y,Subsea steel,Subsea,Equinor Energy AS,NO_32/1,,,,,20041001,,340,30891.8578676,SUBSEA STRUCTURE; Y-CONNECTION,4.0602778,60.8489583
Norway,286785,Operational,HEIDRUN PLEM-1,Subsea steel,Subsea,Equinor Energy AS,NO_6507/8,,,,,19951019,,343,155811.582777,SUBSEA STRUCTURE; PIPELINE END MANIFOLD,7.3784111,65.3217306
Norway,283509,Operational,MIKKEL A,Subsea steel,Subsea,Equinor Energy AS,NO_6407/6,Natural Gas,,,,20031001,,220,97903.7237503,MULTI WELL TEMPLATE; GAS PRODUCER,7.6807222,64.7126194
Norway,282585,Decommissioned,YME B VEST,Subsea steel,Subsea,Repsol Norge AS,NO_9/2,Crude Oil,,,,19991101,,85,116453.33803,MULTI WELL TEMPLATE; OIL PRODUCER,4.3559778,57.7542194
Norway,279337,Operational,NORNE F,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,19980702,,380,152548.407793,MULTI WELL TEMPLATE; WATER INJECTION,8.1000722,66.0447472
Norway,461086,Closed down,LAVRANS,,,Equinor Energy AS,,,,,,,,270,141052.300333,MULTI WELL TEMPLATE; DRILLING TEMPLATE,6.5593472,64.8484944
Norway,278553,Operational,ÅSGARD F,Subsea steel,Subsea,Equinor Energy AS,NO_6506/11,Natural Gas,,,,19990520,,300,155235.644537,MULTI WELL TEMPLATE; OIL PRODUCER,6.60125,65.0295278
Norway,434044,Operational,ROGN SØR MANIFOLD,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20131201,,293,55077.6010688,SUBSEA STRUCTURE; MANIFOLD STATION,7.7296,64.2631639
Norway,283649,Under construction,HEIDRUN F,Subsea steel,Subsea,Equinor Energy AS,NO_6507/8,Crude Oil,,,,,,358.100006104,158316.590631,MULTI WELL TEMPLATE; WATER INJECTION,7.3570306,65.3694389
Norway,377763,Under construction,TYRIHANS W,Subsea steel,Subsea,Equinor Energy AS,NO_6407/1,Crude Oil,,,,,,282,126110.777349,MULTI WELL TEMPLATE; WATER INJECTION,7.0153167,64.8349139
Norway,278721,Operational,ÅSGARD E,Subsea steel,Subsea,Equinor Energy AS,NO_6506/11,Natural Gas,,,,19990520,,305,158374.94637,MULTI WELL TEMPLATE; GAS INJECTION - OIL PRODUCER,6.6113667,65.0683194
Norway,278833,Operational,ÅSGARD S,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Crude Oil,,,,19990520,,300,144564.503602,MULTI WELL TEMPLATE; OIL PRODUCER,6.9458889,65.0161111
Norway,413766,Operational,ÅSGARD NB,,,Equinor Energy AS,,,,,,20120210,,301,164531.478086,SINGLE WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,6.9082694,65.217
Norway,364315,Operational,SNØHVIT E,Subsea steel,Subsea,Equinor Energy AS,NO_7121/4,Natural Gas,,,,20070821,,336,101362.490871,MULTI WELL TEMPLATE; GAS PRODUCER,21.1835306,71.5945278
Norway,395591,Under construction,KRISTIN Q,Subsea steel,Subsea,Equinor Energy AS,NO_6406/2,Natural Gas,,,,,,320,147644.013113,MULTI WELL TEMPLATE; GAS PRODUCER,6.4349361,64.8811611
Norway,279281,Operational,NORNE D,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,19971105,,378,153537.690931,MULTI WELL TEMPLATE; OIL PRODUCER,8.0578667,66.0137194
Norway,458692,Under construction,DVALIN GAS EXPORT RISER BASE,,,,,,,,,20201001,,345,158246.229511,SUBSEA STRUCTURE,7.3266722,65.3255639
Norway,285189,Operational,6407/7-A-6 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73817.9340348,SINGLE WELL TEMPLATE; GAS INJECTION,7.2020083,64.2708139
Norway,456808,Operational,JOHAN SVERDRUP STATPIPE PLEM,,,Equinor Energy AS,,,,,,20191005,,128,4012.48976029,SUBSEA STRUCTURE; PIPELINE END MANIFOLD,5.0528944,59.3266111
Norway,278413,Decommissioned,YME B,Floating steel,Above water production,Repsol Norge AS,NO_9/2,Crude Oil,,,,19960227,,95,116447.602258,FSU; OFFLOADING - STORAGE,4.3560556,57.75425
Norway,277853,Operational,DRAUGEN B,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,19931019,,263,64980.6011221,MULTI WELL TEMPLATE; WATER INJECTION,7.7958167,64.4002639
Norway,285329,Operational,NJORD SDU-1,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73859.0026907,SUBSEA STRUCTURE; DISTRIBUTION,7.2012444,64.2709861
Norway,408458,Operational,SKARV A,Subsea steel,Subsea,Aker BP ASA,NO_6507/5,Natural Gas,,,,20121231,,324,163254.227147,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,7.6558833,65.738675
Norway,377726,Operational,TYRIHANS D,Subsea steel,Subsea,Equinor Energy AS,NO_6406/3,Crude Oil,,,,20090708,,266,121969.449856,MULTI WELL TEMPLATE; OIL PRODUCER,6.9907167,64.7797389
Norway,708522,Under construction,ASKELADD NORD (J),,,Equinor Energy AS,,,,,,,,0.0,99205.9190293,MULTI WELL TEMPLATE; GAS PRODUCER,20.4113,71.4001083
Norway,283593,Operational,HEIDRUN D,Subsea steel,Subsea,Equinor Energy AS,NO_31/2-1,Crude Oil,,,,20000815,,358.5,158994.386679,MULTI WELL TEMPLATE; OIL PRODUCER,7.3359889,65.3618889
Norway,451934,Under construction,DVALIN,,,Wintershall Dea Norge AS,,,,,,20201001,,380,169981.680206,MULTI WELL TEMPLATE; GAS PRODUCER,7.1401694,65.4294333
Norway,441847,Operational,AASTA HANSTEEN B,,,Equinor Energy AS,,,,,,20181217,,1232,211368.016224,MULTI WELL TEMPLATE; GAS PRODUCER,7.0428833,67.0341861
Norway,409423,Operational,NORNE M,,,Equinor Energy AS,,,,,,20100501,,375,154434.986823,MULTI WELL TEMPLATE; OIL PRODUCER,8.0320889,66.0049278
Norway,417663,Operational,FOSSEKALL P,,,Equinor Energy AS,,,,,,20130313,,358,150149.149167,MULTI WELL TEMPLATE; OIL PRODUCER,8.2330139,66.1436972
Norway,710870,Operational,DUVA K,,,Neptune Energy Norge AS,,,,,,20210823,,359,29214.364858,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,4.0674167,61.4002278
Norway,417781,Operational,DOMPAP S,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,20140401,,343,147650.973979,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,8.3330278,66.2346306
Norway,447355,Operational,MARIA G,,,Wintershall Dea Norge AS,,,,,,20171217,,304,139902.702615,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER - WATER INJECTION,6.9766722,64.9746278
Norway,408576,Operational,SKARV B/C VEST,Fixed steel,Subsea,Aker BP ASA,NO_6507/5,Natural Gas,,,,20121231,,375,164216.26652,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,7.5890806,65.7039111
Norway,279253,Operational,NORNE C,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,19971114,,375,153636.859455,MULTI WELL TEMPLATE; WATER INJECTION,8.0560333,66.0144139
Norway,377689,Operational,TYRIHANS C,Subsea steel,Subsea,Equinor Energy AS,NO_6407/1,Crude Oil,,,,20090708,,268,122228.838359,MULTI WELL TEMPLATE; OIL PRODUCER,7.0117278,64.7898611
Norway,282473,Operational,HEIDRUN UMBILCAL BASE,Subsea steel,Other,Equinor Energy AS,NO_6507/7,,,,,19950815,,350,158946.40654,SUBSEA STRUCTURE; RISER BASE,7.3099944,65.3240222
Norway,287653,Operational,NJORD T,Subsea steel,Subsea,OKEA ASA,NO_6407/10,,,,,20071210,,330,67284.645133,SUBSEA STRUCTURE; T-CONNECTION,7.2599611,64.2053778
Norway,417412,Operational,6507/8-D-5 H,,,Equinor Energy AS,,,,,,20070201,,357,159058.677556,SINGLE WELL TEMPLATE; OIL PRODUCER,7.3352806,65.3628722
Norway,438886,Operational,DRAUGEN SSBP,,,OKEA ASA,,,,,,20161124,,259,61851.9799586,SUBSEA STRUCTURE; BOOSTER,7.7272028,64.3416361
Norway,278749,Operational,ÅSGARD G,Subsea steel,Subsea,Equinor Energy AS,NO_6506/11,Natural Gas,,,,19990520,,288,158753.449291,MULTI WELL TEMPLATE; GAS INJECTION - OIL PRODUCER,6.662,65.0882639
Norway,284125,Operational,6407/9-E-1 H,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20021130,,293,54979.8459911,SINGLE WELL TEMPLATE; OIL PRODUCER,7.7308417,64.2624722
Norway,287541,Under construction,KOLLSNES T,,,Gassco AS,,,,,,,,308,25675.4236827,SUBSEA STRUCTURE; T-CONNECTION,4.2631333,60.6049778
Norway,453826,Under construction,SMØRBUKK NORD,,,Equinor Energy AS,,,,,,20201101,,300,167391.131836,SINGLE WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,6.9043361,65.2513972
Norway,278581,Operational,ÅSGARD I,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,19990520,,285,157949.441687,MULTI WELL TEMPLATE; OIL PRODUCER,6.68175,65.0853611
Norway,278637,Operational,ÅSGARD N,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,20001004,,272,161831.135802,MULTI WELL TEMPLATE; OIL PRODUCER,6.8514444,65.1739167
Norway,281857,Operational,DRAUGEN PLEM-106,Subsea steel,Other,OKEA ASA,NO_6407/9,,,,,19931019,,256,58774.5336183,SUBSEA STRUCTURE; PIPELINE END MANIFOLD,7.8442278,64.3468028
Norway,287429,Operational,KRISTIN T,Subsea steel,Subsea,Gassco AS,NO_6406/3,,,,,20051105,,319,144828.651312,SUBSEA STRUCTURE; T-CONNECTION,6.7697806,64.9666139
Norway,356244,Operational,DRAUGEN C,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,19931019,,276,58907.5125535,MULTI WELL TEMPLATE; WATER INJECTION,7.7384083,64.3107111
Norway,408635,Operational,SKARV B/C ØST,Fixed steel,Subsea,Aker BP ASA,NO_6507/5,Natural Gas,,,,20121231,,375,164156.807392,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,7.5912889,65.7043694
Norway,284909,Operational,6407/7-A-13 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,20020101,,330,73842.8780225,SINGLE WELL TEMPLATE; OIL PRODUCER,7.2019889,64.2711722
Norway,435301,Operational,6407/9-G-3 H,,,OKEA ASA,,,,,,20160623,,268,60945.1854867,SINGLE WELL TEMPLATE; OIL PRODUCER,7.7526611,64.3403556
Norway,410887,Operational,GOLIAT FPSO,,,Vår Energi ASA,,,,,,20160312,,371,54153.7957127,FPSO; OFFLOADING - OIL PRODUCER - PROCESSING - QUARTER,22.2525083,71.3110389
Norway,287765,Decommissioned,YME-STL,Other,Other,Repsol Norge AS,NO_9/2,Crude Oil,,,,19960227,,94,101884.10412,LOADING SYSTEM,4.5500528,57.8343
Norway,284993,Operational,6407/7-A-14 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73853.5315047,SINGLE WELL TEMPLATE; OIL PRODUCER,7.2017806,64.2712111
Norway,364278,Operational,SNØHVIT D,Subsea steel,Subsea,Equinor Energy AS,NO_7121/4,Natural Gas,,,,20070821,,337,99228.2973601,MULTI WELL TEMPLATE; GAS PRODUCER,21.273,71.5921667
Norway,708225,Under construction,ASKELADD SØR (L),,,Equinor Energy AS,,,,,,,,0.0,94403.3207838,MULTI WELL TEMPLATE; GAS PRODUCER,20.3899417,71.34095
Norway,451420,Operational,6507/5-L-1H ÆRFUGL,,,Aker BP ASA,,,,,,20201112,,406,163879.640321,SINGLE WELL TEMPLATE; GAS PRODUCER,7.4903028,65.6270611
Norway,411354,Operational,GOLIAT I,,,Vår Energi ASA,,,,,,20160312,,327,47425.6241936,MULTI WELL TEMPLATE; WATER INJECTION,22.2511722,71.2424472
Norway,278609,Operational,ÅSGARD L,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,19990520,,288,160162.974728,MULTI WELL TEMPLATE; OIL PRODUCER,6.7826944,65.13825
