id,name,indexarea,year_t,q025,median,q975,displacement,imputations,data_singlearea
3,Alge på bjørk,wholeArea,1990,0.99016000000000004,0.99114999999999998,0.99199000000000004,-3.1E-4,0,0
3,Alge på bjørk,wholeArea,2000,0.99634,0.99673999999999996,0.99712999999999996,-1.7000000000000001E-4,0,0
3,Alge på bjørk,wholeArea,2010,0.99944,0.99953000000000003,0.99963000000000002,-5e-05,0,0
3,Alge på bjørk,wholeArea,2014,0.99926000000000004,0.99939999999999996,0.99951000000000001,-9e-05,0,0
3,Alge på bjørk,wholeArea,2019,0.99772000000000005,0.99795,0.99814999999999998,-2.0000000000000001E-4,0,0
3,Alge på bjørk,wholeArea,2024,0.99468999999999996,0.99517999999999995,0.99568999999999996,-2.7E-4,0,0
250,Alke,wholeArea,2000,0.49352000000000001,0.91210000000000002,1,-8.7900000000000006E-2,0,0
250,Alke,wholeArea,2005,0.37162000000000001,0.79934000000000005,1,-4.7980000000000002E-2,0,0
250,Alke,wholeArea,2010,0.36408000000000001,0.71911999999999998,1,-2.503E-2,0,0
250,Alke,wholeArea,2014,0.22444,0.55034000000000005,1,-5.3929999999999999E-2,0,0
250,Alke,wholeArea,2019,4.9200000000000001E-2,0.34448000000000001,0.84992000000000001,-2.4500000000000001E-2,0,0
250,Alke,wholeArea,2024,0.84704999999999997,1,1,0,0,0
5,Alm,wholeArea,1990,0.99248999999999998,0.99575000000000002,0.99870000000000003,-9.6000000000000002E-4,0,0
5,Alm,wholeArea,2000,0.99409999999999998,0.99683999999999995,0.99934000000000001,-6.9999999999999999E-4,0,0
5,Alm,wholeArea,2010,0.99519000000000002,0.99768999999999997,0.99983,-9.6000000000000002E-4,0,0
5,Alm,wholeArea,2014,0.99536999999999998,0.99800999999999995,0.99985999999999997,-1.1000000000000001E-3,0,0
5,Alm,wholeArea,2019,0.99560999999999999,0.99844999999999995,1,-1.23E-3,0,0
5,Alm,wholeArea,2024,0.99612999999999996,0.99866999999999995,1,-1.33E-3,0,0
7,Atlantisk høgmyr areal,wholeArea,1990,0.60653000000000001,0.60653000000000001,0.60653000000000001,0,0,0
7,Atlantisk høgmyr areal,wholeArea,2000,0.60653000000000001,0.60653000000000001,0.60653000000000001,0,0,0
7,Atlantisk høgmyr areal,wholeArea,2010,0.60653000000000001,0.60653000000000001,0.60653000000000001,0,0,0
7,Atlantisk høgmyr areal,wholeArea,2014,0.59338999999999997,0.60643000000000002,0.61797999999999997,-1E-4,0,0
7,Atlantisk høgmyr areal,wholeArea,2019,0.59392,0.59392,0.59392,0,0,0
7,Atlantisk høgmyr areal,wholeArea,2024,0.59508000000000005,0.59508000000000005,0.59508000000000005,0,0,0
50,Aure,wholeArea,1990,0.62222999999999995,0.73895,0.84819999999999995,-2.947E-2,0,0
50,Aure,wholeArea,2000,0.67971000000000004,0.78664000000000001,0.87749999999999995,-3.56E-2,0,0
50,Aure,wholeArea,2010,0.71855000000000002,0.81350999999999996,0.89898,-3.3300000000000003E-2,0,0
50,Aure,wholeArea,2014,0.84192,0.86834,0.89061000000000001,1.3999999999999999E-4,0,0
50,Aure,wholeArea,2019,0.76907000000000003,0.83740999999999999,0.89983000000000002,-8.7500000000000008E-3,0,0
50,Aure,wholeArea,2024,0.65934000000000004,0.77493999999999996,0.87565999999999999,-2.4060000000000002E-2,0,0
9,Bananslørsopp,wholeArea,1990,0.36421999999999999,0.45293,0.54737000000000002,1.2099999999999999E-3,0,0
9,Bananslørsopp,wholeArea,2000,0.31970999999999999,0.40909000000000001,0.49325999999999998,5.0400000000000002E-3,0,0
9,Bananslørsopp,wholeArea,2010,0.31011,0.40222999999999998,0.49740000000000001,2.6700000000000001E-3,0,0
9,Bananslørsopp,wholeArea,2014,0.31661,0.40056000000000003,0.50288999999999995,1.01E-3,0,0
