habitat_id,protected_area_m2,overlap_layer,mpa_area_m2
seagrass_eelgrass_1118_BM00044295,23.700949853368495,protected_area,
seagrass_eelgrass_1119_BM00044296,1409.2234786537952,protected_area,
seagrass_eelgrass_1120_BM00044297,50.62211515674933,protected_area,
seagrass_eelgrass_1120_BM00044297,1553.209597544412,protected_area,
seagrass_eelgrass_1121_BM00044298,52.263620220149065,protected_area,
seagrass_eelgrass_1122_BM00044299,127.2275350199409,protected_area,
seagrass_eelgrass_1123_BM00044300,1971.5311763122188,protected_area,
seagrass_eelgrass_1124_BM00044301,381.08263330235735,protected_area,
seagrass_eelgrass_1125_BM00044302,996.4792909317748,protected_area,
seagrass_eelgrass_1126_BM00044303,5461.369996339395,protected_area,
seagrass_eelgrass_1127_BM00044304,1103.4019935211388,protected_area,
seagrass_eelgrass_1159_BM00044336,191.52668909710445,protected_area,
seagrass_eelgrass_1160_BM00044337,385.41225445364347,protected_area,
seagrass_eelgrass_1161_BM00044338,341.17940833589097,protected_area,
seagrass_eelgrass_1162_BM00044339,456.97073164343317,protected_area,
seagrass_eelgrass_1163_BM00044340,2680.5732419658334,protected_area,
seagrass_eelgrass_1165_BM00044342,148.11826105089227,protected_area,
seagrass_eelgrass_1166_BM00044343,2511.494082425779,protected_area,
seagrass_eelgrass_1167_BM00044344,2327.6465198699148,protected_area,
seagrass_eelgrass_1168_BM00044345,160.76281126185685,protected_area,
seagrass_eelgrass_1169_BM00044346,844.3371543054446,protected_area,
seagrass_eelgrass_1170_BM00044347,210.17152251382194,protected_area,
seagrass_eelgrass_1171_BM00044348,493.60447496347035,protected_area,
seagrass_eelgrass_1172_BM00044349,295.767056672043,protected_area,
seagrass_eelgrass_1173_BM00044350,632.2865215367908,protected_area,
seagrass_eelgrass_1174_BM00044351,10081.975933634214,protected_area,
seagrass_eelgrass_1175_BM00044352,137.0128644240858,protected_area,
seagrass_eelgrass_1176_BM00044353,271.28806982877944,protected_area,
seagrass_eelgrass_1177_BM00044354,170.92759929962605,protected_area,
seagrass_eelgrass_1218_BM00044413,916.6167724585858,protected_area,
seagrass_eelgrass_1219_BM00044414,184.4065907227693,protected_area,
seagrass_eelgrass_1219_BM00044414,309.94917442238005,protected_area,
seagrass_eelgrass_1248_BM00044883,1110.1184709129006,protected_area,
seagrass_eelgrass_1249_BM00044884,12603.766133450677,protected_area,
seagrass_eelgrass_1250_BM00044885,91303.86178194909,protected_area,
seagrass_eelgrass_1276_BM00045083,26.771775917000376,protected_area,
seagrass_eelgrass_1277_BM00045084,78.99499502575317,protected_area,
seagrass_eelgrass_1278_BM00045085,219.53341403768908,protected_area,
seagrass_eelgrass_1281_BM00045088,6900.540703202459,protected_area,
seagrass_eelgrass_1282_BM00045089,390.430522469578,protected_area,
seagrass_eelgrass_1283_BM00045090,598.6223253148921,protected_area,
seagrass_eelgrass_1284_BM00045091,669.9781769926574,protected_area,
seagrass_eelgrass_1285_BM00045092,328.1172979973304,protected_area,
seagrass_eelgrass_1286_BM00045093,11443.342821299872,protected_area,
seagrass_eelgrass_1287_BM00045094,2492.3496283597647,protected_area,
seagrass_eelgrass_1288_BM00045095,212.85578879704707,protected_area,
seagrass_eelgrass_1325_BM00045132,644.7568387393528,protected_area,
seagrass_eelgrass_1416_BM00045223,990.9233460645696,protected_area,
seagrass_eelgrass_1433_BM00045240,4068.1410180664593,protected_area,
seagrass_eelgrass_1434_BM00045241,3716.104094817033,protected_area,
seagrass_eelgrass_1435_BM00045242,6210.1115319628125,protected_area,
seagrass_eelgrass_1436_BM00045243,337.1365486736769,protected_area,
seagrass_eelgrass_1444_BM00045251,7629.345001206193,protected_area,
seagrass_eelgrass_1445_BM00045252,7201.771354996605,protected_area,
seagrass_eelgrass_1446_BM00045253,6728.173146980179,protected_area,
seagrass_eelgrass_1447_BM00045254,9482.80897626503,protected_area,
seagrass_eelgrass_1448_BM00045255,5970.109500544189,protected_area,
seagrass_eelgrass_1449_BM00045256,761.6754847485878,protected_area,
seagrass_eelgrass_1450_BM00045257,3587.8994851903253,protected_area,
seagrass_eelgrass_1451_BM00045258,3174.364235342226,protected_area,
seagrass_eelgrass_1452_BM00045259,21732.78629870301,protected_area,
seagrass_eelgrass_1453_BM00045260,5031.23839646289,protected_area,
seagrass_eelgrass_1454_BM00045261,6964.840500460163,protected_area,
seagrass_eelgrass_1455_BM00045262,27279.56748702768,protected_area,
seagrass_eelgrass_1457_BM00057035,4165.996449758642,protected_area,
seagrass_eelgrass_1458_BM00057036,416.6086124985239,protected_area,
seagrass_eelgrass_1459_BM00057037,242.36875245359496,protected_area,
seagrass_eelgrass_1460_BM00057038,2897.768673982097,protected_area,
seagrass_eelgrass_1469_BM00057047,1798.5117544601744,protected_area,
seagrass_eelgrass_1470_BM00057048,717.8281354831843,protected_area,
seagrass_eelgrass_1471_BM00057049,169.72905051954976,protected_area,
seagrass_eelgrass_1472_BM00057050,165.62560646363715,protected_area,
seagrass_eelgrass_1473_BM00057051,7147.172926397608,protected_area,
seagrass_eelgrass_1474_BM00057052,3779.545219400586,protected_area,
seagrass_eelgrass_1475_BM00057053,4752.222933684225,protected_area,
seagrass_eelgrass_1476_BM00057054,440.6646547327032,protected_area,
seagrass_eelgrass_1477_BM00057055,568.4505356326438,protected_area,
seagrass_eelgrass_1478_BM00057056,4734.315411379359,protected_area,
seagrass_eelgrass_1482_BM00057060,536.36702233999,protected_area,
seagrass_eelgrass_1483_BM00057061,242.75575262848923,protected_area,
seagrass_eelgrass_1485_BM00057063,0.0021000196913805265,protected_area,
seagrass_eelgrass_1515_BM00057093,7320.7718311724575,protected_area,
seagrass_eelgrass_1517_BM00057095,1711.746840826641,protected_area,
seagrass_eelgrass_1557_BM00057135,17510.11358933682,protected_area,
seagrass_eelgrass_1565_BM00057143,38144.87507585638,protected_area,
seagrass_eelgrass_1569_BM00057147,5947.556177907405,protected_area,
seagrass_eelgrass_1571_BM00057150,1536604.1968901346,protected_area,
seagrass_eelgrass_1576_BM00057155,40577.730173246615,protected_area,
seagrass_eelgrass_1587_BM00057166,7034.443747814238,protected_area,
seagrass_eelgrass_1596_BM00057175,12142.385079692836,protected_area,
seagrass_eelgrass_1610_BM00057189,1803.9373121675428,protected_area,
seagrass_eelgrass_1649_BM00057228,110081.8282485694,protected_area,
seagrass_eelgrass_1651_BM00057230,3804.6025922258623,protected_area,
seagrass_eelgrass_1652_BM00057231,52109.50552521915,protected_area,
seagrass_eelgrass_1658_BM00057237,1501.880759794457,protected_area,
seagrass_eelgrass_1659_BM00057238,1025.214578770739,protected_area,
seagrass_eelgrass_1660_BM00057239,27646.191009221493,protected_area,
seagrass_eelgrass_1661_BM00057240,258.0436716987371,protected_area,
seagrass_eelgrass_1672_BM00057251,2563.7822821019836,protected_area,
seagrass_eelgrass_1673_BM00057252,8890.074217465102,protected_area,
seagrass_eelgrass_1678_BM00057257,1926.257153312102,protected_area,
seagrass_eelgrass_1678_BM00057257,6402.500087416086,protected_area,
seagrass_eelgrass_1679_BM00057258,733.9174377346086,protected_area,
seagrass_eelgrass_1680_BM00057259,986.446546856202,protected_area,
seagrass_eelgrass_1681_BM00057260,7669.715342787124,protected_area,
seagrass_eelgrass_1691_BM00057270,10931.400518309838,protected_area,
seagrass_eelgrass_1697_BM00057276,2953.686616282492,protected_area,
seagrass_eelgrass_1708_BM00057287,15933.748969684137,protected_area,
seagrass_eelgrass_1724_BM00057303,15992.75645859261,protected_area,
seagrass_eelgrass_1735_BM00057314,4342.618478543484,protected_area,
seagrass_eelgrass_1736_BM00057315,10941.05907628083,protected_area,
seagrass_eelgrass_1752_BM00057331,328.29391200836903,protected_area,
seagrass_eelgrass_1754_BM00057333,2587.2639143475917,protected_area,
seagrass_eelgrass_1757_BM00057336,2592.0613036334335,protected_area,
seagrass_eelgrass_1758_BM00057337,1552.538663152839,protected_area,
seagrass_eelgrass_1759_BM00057338,4260.731187072073,protected_area,
seagrass_eelgrass_1760_BM00057339,5746.458639501321,protected_area,
seagrass_eelgrass_1761_BM00057340,1820.493303852762,protected_area,
seagrass_eelgrass_1762_BM00057341,1225.8404789761187,protected_area,
seagrass_eelgrass_1764_BM00057343,8712.542610690454,protected_area,
seagrass_eelgrass_1765_BM00057344,2746.3754745798683,protected_area,
seagrass_eelgrass_1766_BM00057345,18573.4559825675,protected_area,
seagrass_eelgrass_1767_BM00057346,3680.8282237441836,protected_area,
seagrass_eelgrass_1768_BM00057347,5884.445445626729,protected_area,
seagrass_eelgrass_1777_BM00057356,11502.608413619877,protected_area,
seagrass_eelgrass_1778_BM00057357,112382.25813331662,protected_area,
seagrass_eelgrass_1782_BM00057361,2010.2880665897674,protected_area,
seagrass_eelgrass_1783_BM00057362,24134.86779675937,protected_area,
seagrass_eelgrass_1784_BM00057363,4570.0289744044185,protected_area,
seagrass_eelgrass_1800_BM00057379,130806.94578515063,protected_area,
seagrass_eelgrass_1801_BM00057380,109018.69269442109,protected_area,
seagrass_eelgrass_1802_BM00057381,22064.703968683076,protected_area,
seagrass_eelgrass_1803_BM00057382,29742.554539382276,protected_area,
seagrass_eelgrass_1809_BM00057388,17059.901001313476,protected_area,
seagrass_eelgrass_1822_BM00057401,13172.163790586801,protected_area,
seagrass_eelgrass_1823_BM00057402,16457.516609602415,protected_area,
seagrass_eelgrass_1824_BM00057403,8543.470095846093,protected_area,
seagrass_eelgrass_1835_BM00057414,24234.327290619396,protected_area,
seagrass_eelgrass_1844_BM00057423,7113.854479233924,protected_area,
seagrass_eelgrass_1846_BM00057425,35077.47795662202,protected_area,
seagrass_eelgrass_1847_BM00057426,11841.409512865243,protected_area,
seagrass_eelgrass_1869_BM00057448,4445.142701800372,protected_area,
seagrass_eelgrass_1897_BM00057476,49736.02291080018,protected_area,
