FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.1010,Norway,708225,Under construction,ASKELADD SØR (L),,,Equinor Energy AS,,,,,,,,0,94403.3207838,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (20.389941700000065 71.34095000000008)
platforms.1012,Norway,443856,Operational,GINA KROG,,,Equinor Energy AS,,,,,,20170630,,116,197747.203758,JACKET 4 LEGS; PROCESSING - QUARTER - WELLHEAD,POINT (1.6967889000000582 58.57218060000008)
platforms.1013,Norway,287205,Operational,STATFJ-NORD SSIV,Subsea steel,Subsea,Equinor Energy AS,NO_33/9,Crude Oil,,,,19990826,,145,142430.063968,SUBSEA STRUCTURE; ISOLATION VALVE,POINT (1.9089861000000496 61.296808300000066)
platforms.1014,Norway,449339,Operational,JOHAN SVERDRUP F,,,Equinor Energy AS,,,,,,20191005,,120,140384.332711,MULTI WELL TEMPLATE; WATER INJECTION,POINT (2.597838900000056 58.78479170000003)
platforms.1015,Norway,430375,Decommissioned,BRYNHILD,,,,,,,,,20141225,,82,230861.174067,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,POINT (2.3026111000000355 57.492777800000056)
platforms.1017,Norway,283229,Operational,25/11-A-5 H BALDER,,,Vår Energi ASA,,,,,,19991115,,127,142159.779207,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.359497200000021 59.19172780000008)
platforms.1019,Norway,716235,Operational,16/4 SOLVEIG BE,,,Lundin Energy Norway AS,,,,,,20210930,,100,166150.387511,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.2028000000000247 58.67761390000004)
platforms.1021,Norway,451420,Operational,6507/5-L-1H ÆRFUGL,,,Aker BP ASA,,,,,,20201112,,406,163879.640321,SINGLE WELL TEMPLATE; GAS PRODUCER,POINT (7.490302800000052 65.62706110000005)
platforms.1022,Norway,285525,Operational,31/2-E-3 H TROLL E-3,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,20030401,,330,62415.0730115,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.449375000000032 60.799811100000056)
platforms.1025,Norway,280233,Decommissioned,15/6-A-1 H Glitne,Subsea steel,Subsea,,NO_15/6,Crude Oil,,,,20010829,,112,193218.958008,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.6681111000000328 58.71302780000008)
platforms.1027,Norway,370415,Operational,34/8-A-33 H,,,Equinor Energy AS,,,,,,20051018,,335,113240.261062,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.459236100000055 61.370330600000045)
