FID,id,the_geom,port,port_id,portcode,country,year,tonnagesize,nofvessels,gross_tonnage__gt_thousand,tonnageindex
portvesselsbytonnage.155112,127,POINT (10.222210623000024 56.146860939000135),Århus,DKAAR,DK_0DKAAR,DK,2025,From 5 000 to 5 999 gross tonnage,16,92,8
portvesselsbytonnage.155111,127,POINT (10.222210623000024 56.146860939000135),Århus,DKAAR,DK_0DKAAR,DK,2025,From 4 000 to 4 999 gross tonnage,35,153,7
portvesselsbytonnage.155110,127,POINT (10.222210623000024 56.146860939000135),Århus,DKAAR,DK_0DKAAR,DK,2025,From 3 000 to 3 999 gross tonnage,67,238,6
portvesselsbytonnage.155109,127,POINT (10.222210623000024 56.146860939000135),Århus,DKAAR,DK_0DKAAR,DK,2025,From 2 000 to 2 999 gross tonnage,209,535,5
portvesselsbytonnage.155108,127,POINT (10.222210623000024 56.146860939000135),Århus,DKAAR,DK_0DKAAR,DK,2025,From 1 000 to 1 999 gross tonnage,155,252,4
portvesselsbytonnage.155107,127,POINT (10.222210623000024 56.146860939000135),Århus,DKAAR,DK_0DKAAR,DK,2025,From 500 to 999 gross tonnage,5,3,3
portvesselsbytonnage.155106,127,POINT (10.222210623000024 56.146860939000135),Århus,DKAAR,DK_0DKAAR,DK,2025,From 100 to 499 gross tonnage,865,317,2
portvesselsbytonnage.155105,127,POINT (10.222210623000024 56.146860939000135),Århus,DKAAR,DK_0DKAAR,DK,2025,Less than 100 gross tonnage,,,1
portvesselsbytonnage.155126,127,POINT (10.222210623000024 56.146860939000135),Århus,DKAAR,DK_0DKAAR,DK,2025,Total,4703,56089,0
portvesselsbytonnage.155833,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 40 000 to 49 999 gross tonnage,,,16
portvesselsbytonnage.155832,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 30 000 to 39 999 gross tonnage,1,31,15
portvesselsbytonnage.155831,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 20 000 to 29 999 gross tonnage,1,30,14
portvesselsbytonnage.155830,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 10 000 to 19 999 gross tonnage,3,35,13
portvesselsbytonnage.155829,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 8 000 to 8 999 gross tonnage,,,11
portvesselsbytonnage.155828,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 7 000 to 7 999 gross tonnage,,,10
portvesselsbytonnage.155827,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 6 000 to 6 999 gross tonnage,3,18,9
portvesselsbytonnage.155826,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.155825,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 4 000 to 4 999 gross tonnage,5,23,7
portvesselsbytonnage.155824,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 3 000 to 3 999 gross tonnage,1,4,6
portvesselsbytonnage.155823,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 2 000 to 2 999 gross tonnage,4,8,5
portvesselsbytonnage.155822,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,From 1 000 to 1 999 gross tonnage,1,2,4
portvesselsbytonnage.155834,128,POINT (11.079476000000113 55.65971000000013),Asnæs Inter Terminal,DKAIT,DK_0DKAIT,DK,2025,Total,19,153,0
portvesselsbytonnage.157840,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 80 000 to 99 999 gross tonnage,,,18
portvesselsbytonnage.157839,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 50 000 to 79 999 gross tonnage,1,63,17
portvesselsbytonnage.157838,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 40 000 to 49 999 gross tonnage,,,16
portvesselsbytonnage.157837,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 30 000 to 39 999 gross tonnage,,,15
portvesselsbytonnage.157836,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 20 000 to 29 999 gross tonnage,,,14
portvesselsbytonnage.157835,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 10 000 to 19 999 gross tonnage,,,13
portvesselsbytonnage.157834,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 9 000 to 9 999 gross tonnage,5,48,12
portvesselsbytonnage.157833,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 8 000 to 8 999 gross tonnage,,,11
portvesselsbytonnage.157832,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 7 000 to 7 999 gross tonnage,2,16,10
portvesselsbytonnage.157831,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 6 000 to 6 999 gross tonnage,,,9
portvesselsbytonnage.157830,132,POINT (11.084472656000003 55.665527344000054),Asnæsværkets Havn,DKASV,DK_0DKASV,DK,2025,From 5 000 to 5 999 gross tonnage,3,15,8
