FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.727,Norway,282781,Operational,34/4-C H SNORRE,,,Equinor Energy AS,,,,,,20010627,,340,128435.13917,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (2.21122500000007 61.52506110000007)
platforms.728,Norway,722158,Under construction,JOHAN SVERDRUP P,,,Equinor Energy AS,,,,,,,,116,133465.111253,MULTI WELL TEMPLATE; WATER INJECTION,POINT (2.7102306000000453 58.806597200000056)
platforms.730,Norway,278805,Operational,ÅSGARD M,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,20001004,,273,163021.727231,MULTI WELL TEMPLATE; GAS INJECTION,POINT (6.800888900000075 65.17344440000005)
platforms.731,Norway,409489,Decommissioned,15/6-A-6 H Glitne,Subsea steel,Subsea,,NO_15/6,Crude Oil,,,,20040801,,112,193670.107549,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.6736583000000564 58.694052800000065)
platforms.733,Norway,408517,Operational,TILJE,Fixed steel,Subsea,Aker BP ASA,NO_6507/5,Natural Gas,,,,20121231,,324,163427.620766,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (7.651461100000063 65.73820280000007)
platforms.737,Norway,719039,Under construction,25/11 BALDER GT,,,Vår Energi ASA,,,,,,,,125,136695.910915,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (2.44876940000006 59.23912500000006)
platforms.739,Norway,364789,Operational,NORNE G,Subsea steel,Subsea,Equinor Energy AS,NO_6608/10,Crude Oil,,,,20051108,,390,147134.825949,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (8.248819400000059 66.07832500000006)
platforms.824,Norway,451366,Operational,6507/5-K-1H ÆRFUGL,,,Aker BP ASA,,,,,,20201112,,409,165449.672951,SINGLE WELL TEMPLATE; GAS PRODUCER,POINT (7.548000000000059 65.69740560000008)
platforms.742,Norway,278693,Operational,ÅSGARD J,Subsea steel,Subsea,Equinor Energy AS,NO_6506/12,Natural Gas,,,,20001004,,256,164054.952967,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (6.7330833000000325 65.16633330000008)
platforms.743,Norway,287737,Operational,NJORD STL,Other,Other,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,100.5,71952.3854194,LOADING SYSTEM,POINT (7.2530806000000325 64.27206110000003)
platforms.744,Norway,281577,Operational,34/7-I-1 H TORDIS I-1,Subsea steel,Subsea,Equinor Energy AS,NO_34/7,Crude Oil,,,,19940603,,200,130905.132942,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.119611100000043 61.27593060000004)
platforms.745,Norway,375056,Operational,KNELER A,Subsea steel,Subsea,Aker BP ASA,NO_25/4,Crude Oil,,,,20080608,,119,163061.706681,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (2.019069400000035 59.547816700000055)
platforms.746,Norway,452152,Operational,VISUND NORD IOR,,,Equinor Energy AS,,,,,,20190902,,380,106948.401301,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (2.590002800000036 61.435222200000055)
platforms.747,Norway,284937,Under construction,31/2-D-3 H TROLL D-3,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,,,330,60251.9577453,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.4454083000000537 60.858466700000065)
platforms.750,Norway,432415,Operational,GULLFAKS SØR O,,,Equinor Energy AS,,,,,,20150727,,135,121450.6913,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (2.2529917000000523 61.08100560000008)
platforms.752,Norway,447414,Operational,MARIA H,,,Wintershall Dea Norge AS,,,,,,20171217,,303,137958.903896,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER - WATER INJECTION,POINT (6.954563900000039 64.94722780000006)
platforms.753,Norway,506928,Operational,25/1-S SKOGUL,,,Aker BP ASA,,,,,,20200301,,110,159611.559861,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.1825583000000393 59.79407220000007)
platforms.754,Norway,286897,Under construction,VIGDIS-Y,Subsea steel,Subsea,Equinor Energy AS,NO_34/10,Crude Oil,,,,,,140,126585.422629,SUBSEA STRUCTURE; Y-CONNECTION,POINT (2.1722639000000754 61.18467780000003)
platforms.755,Norway,280065,Closed down,30/6-B-51 H OSEBERG B-51,Subsea steel,Subsea,Equinor Energy AS,NO_30/6,Crude Oil,,,,19960820,,110,108594.794269,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.7402528000000643 60.53329170000006)
platforms.756,Norway,452436,Operational,SNORRE SEP V,,,Equinor Energy AS,,,,,,20201212,,327,131198.078689,MULTI WELL TEMPLATE; OIL PRODUCER - WATER/GAS INJECTION,POINT (2.1484528000000296 61.49610830000006)
platforms.759,Norway,451185,Under construction,FENJA H,,,Neptune Energy Norge AS,,,,,,,,325,79497.8345151,MULTI WELL TEMPLATE; GAS INJECTOR - WATER INJECTION,POINT (6.7482972000000245 64.02993610000004)
platforms.760,Norway,436279,Operational,GULLFAKS SØR P,,,Equinor Energy AS,,,,,,20150727,,135,121505.986555,MULTI WELL TEMPLATE; GAS INJECTION,POINT (2.2519444000000703 61.08055560000008)
platforms.761,Norway,278973,Operational,ÅSGARD Z,Subsea steel,Subsea,Equinor Energy AS,NO_6407/2,Crude Oil,,,,20001004,,245,121514.273959,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (7.622138900000039 64.97080560000006)
platforms.762,Norway,284013,Operational,25/11-C-3 H BALDER,,,Vår Energi ASA,,,,,,19991014,,127,139427.789417,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.409036100000037 59.18347780000005)
platforms.763,Norway,278021,Operational,STATFJORD ØST M,Subsea steel,Subsea,Equinor Energy AS,NO_33/9,Crude Oil,,,,19940923,,195,137678.280234,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (1.9998972000000208 61.34125560000007)
platforms.764,Norway,715341,Operational,16/4 SOLVEIG BB,,,Lundin Energy Norway AS,,,,,,20210930,,100,166012.961169,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.199491700000067 58.68424720000007)
platforms.767,Norway,452492,Operational,SNORRE SEP W,,,Equinor Energy AS,,,,,,20201212,,329,132850.409297,MULTI WELL TEMPLATE; OIL PRODUCER - WATER/GAS INJECTION,POINT (2.1230028000000516 61.514116700000045)
platforms.768,Norway,282165,Decommissioned,LILLE-FRIGG A,Subsea steel,Subsea,Aker BP ASA,NO_25/2,Natural Gas,,,,19940501,,110,144497.535759,SUBSEA STRUCTURE; MANIFOLD STATION,POINT (2.385077800000033 59.97235280000007)
platforms.769,Norway,710400,Operational,FROSK TEST PRODUCER,,,Aker BP ASA,,,,,,20190826,,120,171632.691667,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.8320333000000346 59.34139170000003)
platforms.774,Norway,403414,Operational,GJØA D,Subsea steel,Subsea,Neptune Energy Norge AS,NO_35/9,Crude Oil,,,,20101107,,350,33096.4036733,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (3.9589222000000746 61.341322200000036)
platforms.775,Norway,728349,Operational,25/4-K-7,,,Aker BP ASA,,,,,,20200501,,119,162999.004523,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.0201583000000483 59.54770830000007)
