canonical_region,ecosystem,scenario,stressed_kt_c,pct_stressed
Barents Sea,macroalgae,med,2.9148603081679236,0.5409006585001921
Barents Sea,macroalgae,lo,2.9148603081679236,0.5409006585001921
Barents Sea,macroalgae,hi,2.9148603081679236,0.5409006585001921
Barents Sea,seagrass,med,4.083922610742196,19.57554809680204
Barents Sea,seagrass,lo,2.1308723920792305,19.57554809680204
Barents Sea,seagrass,hi,6.012552371907121,19.57554809680204
Norwegian Sea,macroalgae,med,159.09806350718662,10.637557566299579
Norwegian Sea,macroalgae,lo,159.09806350718662,10.637557566299579
Norwegian Sea,macroalgae,hi,159.09806350718662,10.637557566299579
Norwegian Sea,seagrass,med,1.8677361655474833,3.043993919376146
Norwegian Sea,seagrass,lo,0.9745305702866304,3.043993919376146
Norwegian Sea,seagrass,hi,2.7497733386819405,3.043993919376146
Skagerrak,macroalgae,med,41.105544969678164,24.118859800539752
Skagerrak,macroalgae,lo,41.105544969678164,24.118859800539752
Skagerrak,macroalgae,hi,41.105544969678164,24.118859800539752
Skagerrak,seagrass,med,41.721475238692264,27.864021206730317
Skagerrak,seagrass,lo,21.769055933895295,27.864021206730317
Skagerrak,seagrass,hi,61.42441442108386,27.864021206730317
